model_id,bin,n_genes,n_edges,pct_unbalanced,bio_name
110_9_0,A,9,12,66.7,Asymmetric Cell Division B (C. crescentus)
031_9_0,A,9,19,77.8,Cell Cycle Transcription (Yeast)
007_5_0,A,5,14,20.0,Cortical Area Development
088_6_0,A,6,11,100.0,miR-9 Neurogenesis
097_8_2,A,8,16,50.0,Drosophila Wings AP
177_11_0,B,11,60,0.0,Myeloid Progenitors
058_14_0,B,14,79,7.1,Arabidopsis Thaliana Cell Cycle
015_14_2,B,14,20,71.4,Neurotransmitter Signaling Pathway
026_18_0,B,18,59,38.9,Budding Yeast Cell Cycle 2009
086_18_2,B,18,88,22.2,Tumour Cell Invasion & Migration (Reduced)
108_23_2,C,23,67,34.8,Geroconversion
279_22_2,C,22,104,0.0,EMT Hedgehog Signaling
005_28_0,C,28,128,10.7,FA-BRCA Pathway
044_25_1,C,25,59,72.0,Trichostrongylus Retortaeformis
065_30_2,C,30,156,26.7,Tumour Cell Invasion & Migration
043_33_0,D,33,79,72.7,Bordetella Bronchiseptica
013_32_2,D,32,41,90.6,Cholesterol Regulatory Pathway
073_31_3,D,31,101,48.4,Lymphoid & Myeloid Cell Specification
134_35_3,D,35,59,94.3,Rheumatoid Arthritis
032_37_3,D,37,53,89.2,T-Cell Signalling 2006
