model,gene,rein_L,match,gt_tt,rein_tt,functional_accuracy
007_5_0,v_Coup_fti,17,False,"[1, 0, 0, 0]","[1, 1, 1, 0]",0.93
007_5_0,v_Emx2,7,False,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",0.93
007_5_0,v_Fgf8,4,False,"[0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1]",0.93
007_5_0,v_Pax6,9,False,"[0, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]",0.93
007_5_0,v_Sp8,3,True,"[0, 1, 0, 0]","[0, 1, 0, 0]",0.93
031_9_0,v_ACE2,9,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_CLN3,5,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",0.0
031_9_0,v_HCM1,0,True,"[0, 0, 0, 1]","[0, 0, 0, 1]",0.0
031_9_0,v_MBF,7,True,"[0, 1]","[0, 1]",0.0
031_9_0,v_SBF,2,False,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",0.0
031_9_0,v_SFF,6,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
031_9_0,v_SWI5,12,False,"[0, 1]","[1, 1]",0.0
031_9_0,v_YHP1,7,True,"[0, 1, 1, 1]","[0, 1, 1, 1]",0.0
031_9_0,v_YOX1,7,False,"[0, 0, 0, 1]","[0, 1, 1, 1]",0.0
088_6_0,v_Neural_Precursor,5,True,"[0, 1]","[0, 1]",0.0
088_6_0,v_Progenitor,13,False,"[0, 1, 1, 1]","[1, 1, 1, 1]",0.0
088_6_0,v_elavl3_HuC,17,False,"[1, 0, 0, 0]","[1, 1, 1, 0]",0.0
088_6_0,v_her6,17,False,"[1, 0, 0, 0]","[1, 1, 1, 0]",0.0
088_6_0,v_miR_9,17,False,"[1, 0, 0, 0]","[1, 1, 1, 0]",0.0
088_6_0,v_zic5,17,False,"[1, 0, 0, 0]","[1, 1, 1, 0]",0.0
110_9_0,v_CckA,3,True,"[0, 1]","[0, 1]",0.28
110_9_0,v_ChpT,0,True,"[0, 1]","[0, 1]",0.28
110_9_0,v_ClpXP_RcdA,17,True,"[1, 0]","[1, 0]",0.28
110_9_0,v_CpdR,0,True,"[0, 1]","[0, 1]",0.28
110_9_0,v_CtrAb,7,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.28
110_9_0,v_DivJ,7,False,"[0, 0, 1, 0]","[0, 0, 1, 1]",0.28
110_9_0,v_DivK,15,False,"[0, 0, 1, 0]","[1, 0, 1, 1]",0.28
110_9_0,v_DivL,17,True,"[1, 0]","[1, 0]",0.28
110_9_0,v_PleC,17,True,"[1, 0]","[1, 0]",0.28
158_7_0,v_CII,MISSING,False,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],
158_7_0,v_CI_b1,MISSING,False,"[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[],
158_7_0,v_CI_b2,MISSING,False,"[0, 0, 1, 0, 0, 0, 1, 1]",[],
158_7_0,v_Cro_b1,MISSING,False,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]",[],
158_7_0,v_Cro_b2,MISSING,False,"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",[],
158_7_0,v_Cro_b3,MISSING,False,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],
158_7_0,v_N,MISSING,False,"[1, 1, 1, 0, 0, 0, 0, 0]",[],
